Бренд;ID КАТ;Артикул;Название;Категория;Подкатегория;Цена;Старая цена;Тег;Фото;Описание
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9.206 Крем-краска MALECULA Очень светлый блонд жемчужно-фиолетовый, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9.21 Крем-краска MALECULA Пепельно-перламутровый очень светлый блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9.32 Крем-краска MALECULA Очень Светлый Бежевый Блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9.34 Крем-краска MALECULA Очень светлый золотисто-медный блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9.4 Крем-краска MALECULA Очень светлый медный блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9.41 Крем-краска MALECULA Очень светлый блонд холодный медный, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9.42 Крем-краска MALECULA Очень светлый блонд медно-фиолетовый, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9.46 Крем-краска MALECULA Очень светлый блонд медно-розовый, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_eid2_sub_Оксигенты_1л.;;Эмульсия 1,5% 1000 мл. окисляющая Malecula Oxi Emulsion Colour Wave;Оксигенты;Оксигенты 1л.;33.80 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_eid2_sub_Оксигенты_1л.;;Эмульсия 12% 1000 мл. окисляющая Malecula Oxi Emulsion Colour Wave;Оксигенты;Оксигенты 1л.;33.80 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_eid2_sub_Оксигенты_1л.;;Эмульсия 3% 1000 мл. окисляющая Malecula Oxi Emulsion Colour Wave;Оксигенты;Оксигенты 1л.;33.80 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_eid2_sub_Оксигенты_1л.;;Эмульсия 6% 1000 мл. окисляющая Malecula Oxi Emulsion Colour Wave;Оксигенты;Оксигенты 1л.;33.80 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_eid2_sub_Оксигенты_1л.;;Эмульсия 9% 1000 мл. окисляющая Malecula Oxi Emulsion Colour Wave;Оксигенты;Оксигенты 1л.;33.80 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Пудра;;Осветляющая пудра обесцвечивает волосы на 9 тонов. В составе есть ухаживающие компоненты, поэтому снижается риск повреждения волос. Пудру можно использовать на тонких волосах. Не пылится и не набухает.;Окрашивание;Пудра;63.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Пудра;;Осветляющая пудра Малекула Colour Wave Про Блонд - формула идеального блонда. Гарантирует потрясающий результат: защита волоса в процессе работы и осветление от 7 до 9 уровней.;Окрашивание;Пудра;110.10 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_p7ru_sub_Технические_бальзамы;;Бальзам 41929 профес. для салонного применения Malecula Professional Balm Nourishin, 1000мл;Технические продукты;Технические бальзамы;46.10 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_p7ru_sub_Технические_бальзамы;;Маска 39195 профессиональная стабилизатор цвета Colour Wave Малекула, 1000 мл;Технические продукты;Технические бальзамы;34.10 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_p7ru_sub_Технические_шампуни;;Шампунь 250 технический глубокой очистки Малекула Colour Wave, 1000 мл;Технические продукты;Технические шампуни;32.60 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_p7ru_sub_Технические_шампуни;;Шампунь 39194 профессиональный стабилизатор цвета Colour Wave Малекула, 1000 мл;Технические продукты;Технические шампуни;32.60 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_p7ru_sub_Технические_шампуни;;Шампунь 41928 профес. для салонного примен. Malecula Professional Shampoo Nourishin, 1000мл;Технические продукты;Технические шампуни;50.70 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_6ri8_sub_Биксипластия;;Набор 5031 для кератинового выпрямления Liquid Crystal Bixyplastia White (шампунь+состав), 2*1000мл;Реконструкция;Биксипластия;336.80 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
